city,type,value,timestamp
skopje,pm10,16,2018-07-25T14:00:00+02:00
skopje,pm10,16,2018-07-26T14:00:00+02:00
skopje,pm10,18,2018-07-27T14:00:00+02:00
skopje,pm10,16,2018-07-28T14:00:00+02:00
skopje,pm10,22,2018-07-29T14:00:00+02:00
skopje,pm10,24,2018-07-30T14:00:00+02:00
skopje,pm10,26,2018-07-31T14:00:00+02:00
skopje,pm10,22,2018-08-01T14:00:00+02:00
skopje,pm10,17,2018-08-02T14:00:00+02:00
skopje,pm10,17,2018-08-03T14:00:00+02:00
skopje,pm10,17,2018-08-04T14:00:00+02:00
skopje,pm10,16,2018-08-05T14:00:00+02:00
skopje,pm10,16,2018-08-06T14:00:00+02:00
skopje,pm10,26,2018-08-07T14:00:00+02:00
skopje,pm10,20,2018-08-08T14:00:00+02:00
skopje,pm10,19,2018-08-09T14:00:00+02:00
skopje,pm10,20,2018-08-10T14:00:00+02:00
skopje,pm10,17,2018-08-11T14:00:00+02:00
skopje,pm10,15,2018-08-12T14:00:00+02:00
skopje,pm10,14,2018-08-13T14:00:00+02:00
skopje,pm10,19,2018-08-14T14:00:00+02:00
skopje,pm10,17,2018-08-15T14:00:00+02:00
skopje,pm10,22,2018-08-16T14:00:00+02:00
skopje,pm10,21,2018-08-17T14:00:00+02:00
skopje,pm10,19,2018-08-18T14:00:00+02:00
skopje,pm10,17,2018-08-19T14:00:00+02:00
skopje,pm10,21,2018-08-20T14:00:00+02:00
skopje,pm10,18,2018-08-21T14:00:00+02:00
skopje,pm10,17,2018-08-22T14:00:00+02:00
skopje,pm10,14,2018-08-23T14:00:00+02:00
skopje,pm10,14,2018-08-24T14:00:00+02:00
skopje,pm10,23,2018-08-25T14:00:00+02:00
skopje,pm10,27,2018-08-26T14:00:00+02:00
skopje,pm10,19,2018-08-27T14:00:00+02:00
skopje,pm10,17,2018-08-28T14:00:00+02:00
skopje,pm10,22,2018-08-29T14:00:00+02:00
skopje,pm10,16,2018-08-30T14:00:00+02:00
skopje,pm10,17,2018-08-31T14:00:00+02:00
skopje,pm10,24,2018-09-01T14:00:00+02:00
skopje,pm10,27,2018-09-02T14:00:00+02:00
skopje,pm10,30,2018-09-03T14:00:00+02:00
skopje,pm10,15,2018-09-04T14:00:00+02:00
skopje,pm10,12,2018-09-05T14:00:00+02:00
skopje,pm10,20,2018-09-06T14:00:00+02:00
skopje,pm10,24,2018-09-07T14:00:00+02:00
skopje,pm10,18,2018-09-08T14:00:00+02:00
skopje,pm10,22,2018-09-09T14:00:00+02:00
skopje,pm10,16,2018-09-10T14:00:00+02:00
skopje,pm10,16,2018-09-11T14:00:00+02:00
skopje,pm10,16,2018-09-12T14:00:00+02:00
skopje,pm10,18,2018-09-13T14:00:00+02:00
skopje,pm10,17,2018-09-14T14:00:00+02:00
skopje,pm10,22,2018-09-15T14:00:00+02:00
skopje,pm10,15,2018-09-16T14:00:00+02:00
skopje,pm10,17,2018-09-17T14:00:00+02:00
skopje,pm10,21,2018-09-18T14:00:00+02:00
skopje,pm10,24,2018-09-19T14:00:00+02:00
skopje,pm10,23,2018-09-20T14:00:00+02:00
skopje,pm10,18,2018-09-21T14:00:00+02:00
skopje,pm10,24,2018-09-22T14:00:00+02:00
skopje,pm10,31,2018-09-23T14:00:00+02:00
skopje,pm10,30,2018-09-24T14:00:00+02:00
skopje,pm10,7,2018-09-25T14:00:00+02:00
skopje,pm10,8,2018-09-26T14:00:00+02:00
skopje,pm10,12,2018-09-27T14:00:00+02:00
skopje,pm10,17,2018-09-28T14:00:00+02:00
skopje,pm10,24,2018-09-29T14:00:00+02:00
skopje,pm10,24,2018-09-30T14:00:00+02:00
skopje,pm10,25,2018-10-01T14:00:00+02:00
skopje,pm10,26,2018-10-02T14:00:00+02:00
skopje,pm10,31,2018-10-03T14:00:00+02:00
skopje,pm10,19,2018-10-04T14:00:00+02:00
skopje,pm10,22,2018-10-05T14:00:00+02:00
skopje,pm10,30,2018-10-06T14:00:00+02:00
skopje,pm10,28,2018-10-07T14:00:00+02:00
skopje,pm10,18,2018-10-08T14:00:00+02:00
skopje,pm10,26,2018-10-09T14:00:00+02:00
skopje,pm10,19,2018-10-10T14:00:00+02:00
skopje,pm10,25,2018-10-11T14:00:00+02:00
